imageId,Date,mm
197111_00000000000000000000,197111,13.83445799
197112_00000000000000000000,197112,0.001133005
197201_00000000000000000000,197201,0.942233495
197202_00000000000000000000,197202,0.988551305
197203_00000000000000000000,197203,3.23131497
197204_00000000000000000000,197204,3.962130922
197205_00000000000000000000,197205,17.34311103
197206_00000000000000000000,197206,271.6721582
197207_00000000000000000000,197207,132.2397556
197208_00000000000000000000,197208,71.04861274
197209_00000000000000000000,197209,104.5281282
197210_00000000000000000000,197210,6.155755332
197211_00000000000000000000,197211,56.66507307
197212_00000000000000000000,197212,0.884412705
197301_00000000000000000000,197301,0
197302_00000000000000000000,197302,0.75502492
197303_00000000000000000000,197303,0.739252146
197304_00000000000000000000,197304,2.747469438
197305_00000000000000000000,197305,9.030520327
197306_00000000000000000000,197306,238.5748206
197307_00000000000000000000,197307,169.7376774
197308_00000000000000000000,197308,435.3780695
197309_00000000000000000000,197309,297.6840871
197310_00000000000000000000,197310,421.0725816
197311_00000000000000000000,197311,3.351779951
197312_00000000000000000000,197312,0.962978202
197401_00000000000000000000,197401,1.017831916
197402_00000000000000000000,197402,0.81476367
197403_00000000000000000000,197403,3.436795001
197404_00000000000000000000,197404,2.63870606
197405_00000000000000000000,197405,20.36262306
197406_00000000000000000000,197406,317.555326
197407_00000000000000000000,197407,63.43646453
197408_00000000000000000000,197408,114.3500198
197409_00000000000000000000,197409,357.513281
197410_00000000000000000000,197410,48.27319978
197411_00000000000000000000,197411,1
197412_00000000000000000000,197412,0
197501_00000000000000000000,197501,0.156443361
197502_00000000000000000000,197502,2.231870883
197503_00000000000000000000,197503,1.008217292
197504_00000000000000000000,197504,1.644813503
197505_00000000000000000000,197505,7.318338519
197506_00000000000000000000,197506,37.46694702
197507_00000000000000000000,197507,125.1434093
197508_00000000000000000000,197508,83.7558747
197509_00000000000000000000,197509,488.2420382
197510_00000000000000000000,197510,326.0685469
197511_00000000000000000000,197511,9.042826516
197512_00000000000000000000,197512,0.47816788
197601_00000000000000000000,197601,0
197602_00000000000000000000,197602,0.008217292
197603_00000000000000000000,197603,0.885278196
197604_00000000000000000000,197604,8.265028415
197605_00000000000000000000,197605,11.24858399
197606_00000000000000000000,197606,354.5378533
197607_00000000000000000000,197607,118.7937497
197608_00000000000000000000,197608,38.90693254
197609_00000000000000000000,197609,106.8781417
197610_00000000000000000000,197610,202.6324255
197611_00000000000000000000,197611,19.56405941
197612_00000000000000000000,197612,0.534402326
197701_00000000000000000000,197701,0
197702_00000000000000000000,197702,1.008217292
197703_00000000000000000000,197703,0.389844738
197704_00000000000000000000,197704,4.631005749
197705_00000000000000000000,197705,14.61862775
197706_00000000000000000000,197706,237.7899039
197707_00000000000000000000,197707,5.555458711
197708_00000000000000000000,197708,80.95103884
197709_00000000000000000000,197709,190.1842365
197710_00000000000000000000,197710,39.68224297
197711_00000000000000000000,197711,1.439637707
197712_00000000000000000000,197712,2.080630169
197801_00000000000000000000,197801,0
197802_00000000000000000000,197802,0.008217292
197803_00000000000000000000,197803,0.798450654
197804_00000000000000000000,197804,3.813363317
197805_00000000000000000000,197805,10.17276088
197806_00000000000000000000,197806,97.62790182
197807_00000000000000000000,197807,183.2270671
197808_00000000000000000000,197808,131.5798911
197809_00000000000000000000,197809,362.1299698
197810_00000000000000000000,197810,159.6617319
197811_00000000000000000000,197811,2.667277013
197812_00000000000000000000,197812,1.313713592
197901_00000000000000000000,197901,0
197902_00000000000000000000,197902,0.441969832
197903_00000000000000000000,197903,1.63870606
197904_00000000000000000000,197904,9.438198652
197905_00000000000000000000,197905,12.2738968
197906_00000000000000000000,197906,202.6039646
197907_00000000000000000000,197907,355.5670559
197908_00000000000000000000,197908,253.6806418
197909_00000000000000000000,197909,380.3825476
197910_00000000000000000000,197910,124.0430949
197911_00000000000000000000,197911,0.130574796
197912_00000000000000000000,197912,1.001133005
198001_00000000000000000000,198001,1.536333731
