"Autoridad Para el Manejo Sustentable de la Cuenca del Lago Atitlan y su Entorno (AMSCLAE)"
"Departamento de Investigacion y Calidad Ambiental (DICA)"
"Estacion Climatica de"
Panajachel
2012
"  "
Mes,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2012-11-08,17.40,20.25,25.90,57.80,0.00,191.00,754.00,1.41,7.20,,
2012-11-09,16.40,20.44,27.90,61.79,0.00,246.50,918.00,2.14,9.90,,
2012-11-10,13.80,19.65,27.10,64.92,0.00,247.50,916.00,2.11,9.90,,
2012-11-11,13.70,19.36,26.40,71.42,0.00,238.12,879.00,2.08,9.80,,
2012-11-12,13.30,19.45,26.70,72.12,0.00,230.00,1027.00,1.94,10.10,,
2012-11-13,16.90,20.35,25.20,58.29,0.00,250.38,888.00,2.10,9.70,,
2012-11-14,16.80,20.06,24.80,59.75,0.00,215.88,865.00,1.98,9.80,,
2012-11-15,16.10,19.32,24.50,56.50,0.00,238.71,893.00,2.06,9.70,,
2012-11-16,13.90,18.20,22.90,61.79,0.00,238.54,881.00,2.03,9.70,,
2012-11-17,12.70,18.49,25.60,52.38,0.00,241.46,870.00,2.02,9.50,,
2012-11-18,13.80,19.26,25.80,62.00,0.00,234.58,863.00,1.96,9.30,,
2012-11-19,12.40,18.55,25.60,62.83,0.00,235.58,860.00,1.92,9.00,,
2012-11-20,10.30,17.58,25.80,55.21,0.00,237.46,860.00,1.88,8.70,,
2012-11-21,14.30,19.19,27.10,55.67,0.00,238.08,856.00,1.92,8.90,,
2012-11-22,15.10,19.44,27.60,67.67,0.05,230.88,1028.00,1.86,9.50,,
2012-11-23,14.40,18.72,26.20,64.21,0.00,238.38,853.00,1.98,9.30,,
2012-11-24,14.90,17.90,24.60,55.33,0.00,235.71,856.00,2.02,9.40,,
2012-11-25,11.50,17.66,25.40,63.17,0.00,229.92,851.00,1.92,9.00,,
2012-11-26,11.60,17.67,25.20,70.54,0.00,220.46,889.00,1.85,8.90,,
