dia,flujo
12015,14.66
22015,20.15
32015,7.97
42015,3.46
52015,12
62015,15.54
72015,13.12
82015,15.15
92015,37.26
102015,42.4
112015,42.63
122015,16.75
22016,5.89
32016,5.19
42016,6.12
52016,24.55
62016,22.43
72016,15.05
82016,22.83
92016,27.93
102016,29.51
112016,12.43
122016,11.25
