"Autoridad Para el Manejo Sustentable de la Cuenca del Lago Atitlan y su Entorno (AMSCLAE)"
"Departamento de Investigacion y Calidad Ambiental (DICA)"
"Estacion Climatica de"
"Santa Lucia Utatlan"
2012
"  "
Mes,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2012-11-01,8.60,12.58,18.70,87.25,0.18,200.42,1151.00,1.71,10.80,SSW,1.33
2012-11-02,8.70,12.54,17.80,86.08,0.00,194.00,1229.00,1.72,11.60,E,3.25
2012-11-03,8.20,13.14,20.00,82.62,0.35,250.62,988.00,2.15,10.60,ENE,2.94
2012-11-04,8.60,14.05,20.40,82.50,0.00,260.88,1155.00,2.08,11.30,ENE,3.70
2012-11-05,10.10,13.79,19.70,82.62,0.00,167.00,1069.00,1.47,10.90,E,4.71
2012-11-06,10.60,13.40,18.70,83.67,0.00,124.71,1260.00,1.24,12.00,ENE,3.72
2012-11-07,9.80,13.37,19.60,78.79,0.00,229.67,1046.00,2.17,12.60,S,1.62
2012-11-08,8.60,12.58,19.00,74.08,0.00,246.25,926.00,2.20,10.40,SSW,1.44
2012-11-09,7.40,12.36,20.30,77.50,0.00,266.92,1030.00,2.18,10.80,S,1.83
2012-11-10,8.10,12.45,19.30,75.92,0.00,262.25,1023.00,2.09,10.30,S,1.71
2012-11-11,7.70,13.14,19.90,76.04,0.00,230.96,1100.00,1.92,10.10,E,3.06
2012-11-12,7.60,13.25,18.70,75.38,0.00,237.58,951.00,1.93,9.70,E,5.17
2012-11-13,9.20,13.38,19.10,63.04,0.00,256.08,939.00,2.00,9.70,S,2.14
2012-11-14,7.90,12.57,19.10,76.83,0.00,217.17,1197.00,1.74,10.90,E,4.20
2012-11-15,6.30,11.21,17.40,70.62,0.00,238.46,1005.00,1.88,9.40,S,2.37
2012-11-16,6.70,10.91,17.90,74.79,0.00,223.96,1183.00,1.76,10.40,S,2.14
2012-11-17,7.60,12.29,18.00,56.25,0.00,243.96,911.00,1.92,9.40,ENE,6.46
2012-11-18,8.00,12.89,19.60,68.58,0.00,223.04,909.00,1.84,9.30,SSW,2.21
2012-11-19,7.50,12.27,19.80,55.92,0.00,241.29,909.00,1.87,9.20,S,2.33
2012-11-20,6.40,11.95,19.40,44.62,0.00,241.88,918.00,1.84,9.00,S,2.13
2012-11-21,5.80,11.05,18.40,54.92,0.00,237.67,907.00,1.81,8.90,E,4.23
2012-11-22,6.90,11.80,19.30,75.92,0.00,228.88,1067.00,1.74,9.00,E,3.17
2012-11-23,5.30,10.99,18.20,73.83,0.00,233.62,895.00,1.83,9.00,ENE,4.14
2012-11-24,5.30,9.86,18.00,68.33,0.00,231.96,888.00,1.81,8.90,E,3.03
2012-11-25,4.80,11.50,19.00,68.58,0.00,231.62,896.00,1.82,8.90,ENE,2.50
2012-11-26,6.50,12.71,19.70,62.29,0.00,228.21,905.00,1.78,8.80,S,2.23
2012-11-27,8.20,14.18,21.10,60.58,0.00,224.46,921.00,1.73,9.00,E,5.06
2012-11-28,10.10,13.90,19.40,75.71,0.00,210.08,925.00,1.71,8.80,ENE,4.58
2012-11-29,9.40,12.76,18.90,79.25,0.00,193.58,1009.00,1.56,8.80,E,4.20
2012-11-30,9.30,12.47,18.00,81.29,0.00,151.12,1078.00,1.38,9.40,E,4.02
2012-12-01,8.70,12.23,18.60,80.26,0.00,156.52,1174.00,1.45,9.80,E,4.25
2012-12-02,8.10,11.62,18.40,81.75,0.00,177.29,1034.00,1.52,9.40,E,5.37
2012-12-03,7.50,11.87,19.40,75.33,0.00,210.21,976.00,1.67,9.10,S,1.96
2012-12-04,7.10,11.81,18.60,81.83,0.00,141.67,1100.00,1.10,9.00,E,3.12
2012-12-05,8.20,11.76,17.70,83.88,0.00,107.12,1155.00,1.00,9.90,SSW,1.22
2012-12-06,7.50,11.02,17.60,83.54,0.00,125.21,1083.00,1.10,9.40,E,3.00
2012-12-07,7.30,11.31,17.60,85.83,0.01,207.83,1086.00,1.45,9.10,SSW,1.58
2012-12-08,5.40,10.92,17.90,84.29,0.01,214.54,940.00,1.64,8.30,SSW,1.70
2012-12-09,5.30,11.11,19.20,56.38,0.00,215.50,863.00,1.70,8.50,S,2.17
2012-12-10,7.60,13.28,20.70,54.17,0.00,213.62,872.00,1.70,8.70,W,3.62
2012-12-11,8.70,13.65,20.20,74.58,0.00,212.08,851.00,1.65,8.30,E,3.40
2012-12-12,9.70,14.13,19.90,71.96,0.00,205.42,847.00,1.55,7.90,ENE,5.12
2012-12-13,9.70,13.60,18.50,64.67,0.00,210.29,846.00,1.54,7.90,E,5.82
2012-12-14,8.20,12.62,19.30,67.50,0.00,211.33,858.00,1.54,8.00,E,5.12
2012-12-15,8.40,13.25,20.40,69.08,0.00,210.83,840.00,1.54,7.80,ENE,2.73
2012-12-16,6.10,11.23,18.70,79.38,0.01,207.71,861.00,1.50,7.80,SSW,1.82
2012-12-17,4.40,10.67,17.40,85.12,0.17,206.58,847.00,1.46,7.60,SSW,1.64
2012-12-18,5.70,10.94,18.60,82.71,0.00,211.71,854.00,1.48,7.60,E,2.74
2012-12-19,6.90,12.01,19.20,77.46,0.00,207.38,914.00,1.45,7.80,E,3.87
2012-12-20,7.60,12.89,20.70,68.96,0.00,212.25,863.00,1.43,7.40,E,3.87
2012-12-21,10.20,12.59,17.10,70.58,0.00,209.75,849.00,1.50,7.70,NNW,6.60
2012-12-22,8.70,12.62,17.40,70.79,0.00,210.08,846.00,1.51,7.70,E,6.38
2012-12-23,8.20,12.66,20.20,51.33,0.00,211.71,860.00,1.53,7.90,E,3.80
2012-12-24,7.60,11.98,19.10,67.38,0.00,208.71,867.00,1.46,7.50,S,2.03
2012-12-25,6.30,12.80,21.50,71.58,0.00,210.92,858.00,1.48,7.70,E,2.58
2012-12-26,8.60,13.47,21.00,60.96,0.00,207.88,840.00,1.44,7.40,E,4.36
2012-12-27,8.50,13.39,20.40,56.83,0.00,208.88,847.00,1.48,7.60,E,3.69
2012-12-28,8.50,13.37,20.70,75.04,0.00,208.33,833.00,1.48,7.60,S,2.08
2012-12-29,8.40,13.50,19.40,61.50,0.00,211.46,856.00,1.49,7.60,E,5.81
2012-12-30,10.60,13.42,17.80,75.62,0.00,212.08,875.00,1.53,7.90,E,7.97
2012-12-31,9.90,12.98,17.50,63.25,0.00,199.75,923.00,1.41,7.70,E,6.95
