Día,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2017-01-01,12.10,17.50,23.50,78.83,0.00,204.79,779.00,1.57,6.90,SW,9.95
2017-01-02,12.10,17.52,23.80,75.83,0.00,205.21,805.00,1.62,7.30,SW,12.16
2017-01-03,12.20,17.08,23.40,78.71,0.00,181.71,867.00,1.50,6.70,SW,11.83
2017-01-04,9.70,16.50,24.30,61.79,0.00,218.71,796.00,1.68,7.40,SW,13.82
2017-01-05,12.20,17.64,23.80,79.42,0.00,204.12,821.00,1.61,7.20,SSW,10.98
2017-01-06,13.00,17.58,22.70,81.25,0.00,165.21,937.00,1.36,7.10,SSW,9.67
2017-01-07,13.20,19.35,25.30,65.67,0.00,216.12,816.00,1.65,7.20,E,35.79
2017-01-08,16.50,19.68,23.00,56.29,0.00,218.67,789.00,1.75,7.60,SE,44.27
2017-01-09,14.70,17.81,23.00,48.17,0.00,215.12,796.00,1.53,6.90,ESE,35.57
2017-01-10,13.60,18.98,25.60,51.71,0.00,218.54,809.00,1.66,7.50,ESE,29.77
2017-01-11,9.90,16.68,25.10,61.00,0.00,216.38,809.00,1.65,7.60,SW,13.77
2017-01-12,10.80,17.22,23.80,67.54,0.00,217.75,802.00,1.71,7.80,SW,13.30
2017-01-13,9.90,18.25,25.50,53.12,0.00,220.21,810.00,1.67,7.70,SW,11.51
2017-01-14,16.90,19.82,24.80,55.08,0.00,226.42,814.00,1.85,8.00,E,35.93
2017-01-15,11.30,18.48,25.20,62.04,0.00,217.79,979.00,1.77,8.10,E,21.43
2017-01-16,12.20,16.60,22.20,74.92,0.00,211.33,865.00,1.62,7.50,SW,10.77
2017-01-17,10.80,16.75,23.70,73.75,0.00,211.71,951.00,1.61,7.60,SSW,9.90
2017-01-18,12.70,17.50,22.50,78.12,0.00,164.79,1107.00,1.44,8.10,SW,12.90
2017-01-19,11.70,16.86,22.80,78.83,0.00,180.54,954.00,1.49,8.00,SW,10.61
2017-01-20,14.00,17.13,22.30,80.88,1.20,147.88,914.00,1.35,7.60,SW,13.80
2017-01-21,14.10,16.59,20.50,85.04,1.20,114.29,1083.00,1.05,8.40,S,8.85
2017-01-22,11.30,16.58,21.70,82.71,0.00,219.29,976.00,1.86,8.50,SW,10.60
2017-01-23,12.30,17.66,26.20,66.75,0.00,230.75,838.00,1.89,8.30,SW,13.30
2017-01-24,7.60,15.01,22.30,61.54,0.00,232.71,838.00,1.79,7.80,SW,12.90
2017-01-25,9.80,16.37,23.60,72.54,0.00,224.25,833.00,1.75,7.80,SSW,9.97
2017-01-26,10.70,16.75,22.60,76.21,0.00,220.92,824.00,1.79,7.80,ENE,10.20
2017-01-27,10.40,16.68,25.10,68.96,0.00,225.38,838.00,1.81,8.20,SW,14.22
2017-01-28,11.30,16.97,23.50,74.46,0.00,223.08,821.00,1.77,7.80,SW,10.34
2017-01-29,12.40,19.11,25.10,58.92,0.00,207.75,904.00,1.78,8.10,SW,13.36
2017-01-30,14.10,19.04,23.80,58.58,0.00,234.00,830.00,1.94,8.50,ESE,27.14
2017-01-31,11.00,17.04,23.40,72.71,0.00,222.08,881.00,1.73,8.00,SW,11.50
2017-02-01,12.30,17.32,23.20,78.54,0.00,226.00,870.00,1.76,7.80,SSW,8.47
2017-02-02,12.30,18.52,25.50,66.17,0.00,228.25,875.00,1.86,8.20,SW,11.66
2017-02-03,16.80,20.07,24.70,54.38,0.00,239.04,851.00,1.89,8.30,ESE,35.06
2017-02-04,17.40,20.10,24.40,56.62,0.00,240.75,886.00,1.98,8.50,E,37.64
2017-02-05,17.60,21.16,26.10,58.92,0.00,227.83,886.00,2.00,9.00,E,27.36
2017-02-06,15.30,20.20,26.40,65.42,0.00,238.58,851.00,2.02,8.90,E,25.94
2017-02-07,12.40,17.62,23.40,71.62,0.00,228.92,981.00,1.90,8.60,SW,11.29
2017-02-08,12.90,17.99,23.80,77.71,0.00,204.71,1034.00,1.62,8.50,SW,9.67
2017-02-09,13.50,19.09,24.10,74.50,0.00,213.42,972.00,1.65,8.40,SW,9.06
2017-02-10,17.70,20.27,24.40,60.12,0.00,231.54,1071.00,1.94,9.70,E,37.99
2017-02-11,17.30,20.50,25.90,57.54,0.00,257.38,918.00,2.02,8.90,E,32.41
2017-02-12,10.30,18.11,25.20,56.58,0.00,251.25,898.00,1.90,8.70,SW,13.22
2017-02-13,12.00,17.82,24.60,69.88,0.00,253.04,898.00,2.00,9.00,SW,13.42
2017-02-14,10.70,16.35,21.40,77.21,0.00,150.96,1065.00,1.17,8.20,SW,15.20
2017-02-15,13.40,17.46,22.60,75.08,0.00,207.04,970.00,1.56,8.00,SSW,8.22
2017-02-16,12.80,18.00,23.00,78.12,0.00,188.21,1005.00,1.53,8.40,SW,12.34
2017-02-17,16.10,18.21,21.20,80.04,0.00,104.79,976.00,0.97,8.30,SW,14.71
2017-02-18,14.40,17.64,21.50,79.50,0.00,155.83,1114.00,1.20,8.10,ENE,10.30
2017-02-19,14.60,17.99,22.90,82.21,0.00,191.62,1018.00,1.50,7.60,SSW,8.36
2017-02-20,14.10,17.88,23.10,80.67,0.00,216.50,974.00,1.52,7.60,SSW,9.13
2017-02-21,13.10,17.21,22.00,81.96,0.00,200.08,1002.00,1.49,7.40,SW,9.49
2017-02-22,12.00,17.54,22.30,78.71,0.00,147.96,1020.00,1.13,7.10,WSW,12.90
2017-02-23,13.70,18.37,23.70,79.54,0.00,243.75,1078.00,1.65,8.20,SW,18.23
2017-02-24,13.60,17.73,22.50,81.21,0.00,184.71,1118.00,1.37,8.40,SW,10.96
2017-02-25,13.10,18.09,22.60,80.92,0.00,212.42,969.00,1.61,7.80,SW,10.50
2017-02-26,14.00,19.27,23.80,73.54,0.00,227.67,1069.00,1.76,9.10,ENE,13.22
2017-02-27,12.90,17.82,24.30,70.92,0.00,249.12,1000.00,1.88,8.80,SW,13.79
2017-02-28,11.70,17.92,25.10,66.79,0.00,252.08,954.00,1.98,9.30,SSW,9.06
2017-03-01,13.30,18.70,24.40,77.04,0.00,223.08,995.00,1.79,8.80,SW,12.10
2017-03-02,13.20,20.19,27.20,59.88,0.00,256.92,925.00,2.02,9.30,SW,12.90
2017-03-03,17.60,20.41,25.20,48.96,0.00,268.00,914.00,2.14,9.30,SE,42.77
2017-03-04,16.70,19.59,23.50,51.67,0.00,269.79,919.00,2.17,9.50,ESE,39.58
2017-03-05,16.40,19.41,24.10,55.04,0.00,273.67,988.00,2.17,9.50,ESE,34.91
2017-03-06,11.30,18.46,25.70,61.96,0.00,252.79,1294.00,2.07,11.20,E,28.97
2017-03-07,12.30,18.50,25.30,70.62,0.00,263.29,921.00,2.01,9.00,SW,13.30
2017-03-08,13.40,19.74,26.10,62.62,0.00,245.92,1129.00,2.03,10.70,E,30.22
2017-03-09,13.80,20.18,26.40,55.54,0.00,259.21,925.00,2.04,9.20,ESE,22.52
2017-03-10,13.80,19.53,26.80,69.12,0.00,235.83,1150.00,1.92,9.40,E,11.55
2017-03-11,14.10,19.08,25.40,74.17,0.00,226.71,1051.00,1.98,9.90,S,10.48
