Día,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2014-01-01,7.40,12.68,17.40,76.39,0.00,209.43,1230.00,1.23,9.50,NNW,5.77
2014-01-02,7.50,12.94,18.30,75.61,0.00,229.22,877.00,1.25,7.20,NNW,6.15
2014-01-03,10.30,13.48,17.70,68.65,0.00,243.09,865.00,1.42,7.70,NNW,10.83
2014-01-04,7.90,13.24,18.80,75.57,0.00,190.96,1002.00,1.13,8.00,NNW,5.92
2014-01-05,8.00,12.43,17.60,76.39,0.00,234.09,988.00,1.29,7.80,E,5.65
2014-01-06,8.00,12.88,18.10,60.35,0.00,245.83,838.00,1.40,7.60,NNW,13.50
2014-01-07,10.10,12.15,16.10,73.22,0.00,244.26,840.00,1.53,8.00,NNW,15.61
2014-01-08,11.10,12.86,16.40,77.35,0.00,161.43,1072.00,0.95,9.60,NNW,11.68
2014-01-09,8.80,13.60,17.80,74.30,0.00,201.83,1090.00,1.23,8.80,NNW,7.86
2014-01-10,7.50,12.45,17.80,81.00,0.00,241.83,990.00,1.37,7.60,NNW,4.02
2014-01-11,6.20,13.54,19.70,57.65,0.00,247.78,840.00,1.39,7.40,NW,9.00
2014-01-12,7.80,12.97,17.70,67.83,0.00,248.39,870.00,1.44,7.60,NNW,9.22
2014-01-13,7.30,12.42,19.30,68.39,0.00,248.48,856.00,1.49,8.10,E,5.37
2014-01-14,6.60,12.64,18.90,69.65,0.00,237.74,898.00,1.45,8.10,NNW,8.31
2014-01-15,6.00,11.12,18.40,71.00,0.00,202.43,930.00,1.32,7.80,NNW,11.83
2014-01-16,5.60,11.23,17.20,64.43,0.00,251.96,854.00,1.48,7.90,NNW,6.42
2014-01-17,6.40,11.57,16.90,78.35,0.00,205.17,937.00,1.21,8.00,E,5.81
2014-01-18,4.80,10.86,18.40,75.39,0.25,242.74,854.00,1.38,7.60,NNW,5.77
2014-01-19,6.30,11.78,19.60,69.26,0.00,201.43,956.00,1.17,7.90,NW,11.58
2014-01-20,7.90,12.16,17.80,72.57,0.00,247.30,1013.00,1.37,7.90,NW,5.04
2014-01-21,6.90,12.01,18.00,73.87,0.00,218.39,886.00,1.25,7.20,E,5.45
2014-01-22,6.90,11.52,16.90,75.87,0.00,241.74,854.00,1.40,7.60,NNW,9.42
2014-01-23,6.50,12.45,18.20,76.13,0.00,251.09,863.00,1.32,7.40,E,5.28
2014-01-24,8.00,13.19,18.20,66.00,0.50,225.52,874.00,1.25,7.10,NNW,13.92
