Día,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2012-04-01,10.80,15.00,20.70,83.25,0.20,182.08,1194.00,2.16,14.70,E,7.06
2012-04-02,11.30,14.80,20.20,84.75,0.00,161.17,1234.00,2.14,16.00,ENE,3.20
2012-04-03,11.00,14.98,20.10,87.50,0.40,211.96,1208.00,2.60,15.80,E,5.07
2012-04-04,11.20,15.09,21.80,84.33,1.40,228.38,1114.00,2.85,15.50,NE,4.20
2012-04-05,11.70,15.56,20.90,79.62,0.00,216.17,1181.00,2.59,15.10,NE,3.89
2012-04-06,12.30,15.58,22.10,83.08,0.60,125.00,1188.00,1.64,14.80,SE,2.40
2012-04-07,12.00,16.41,23.70,70.71,0.80,260.46,1018.00,3.26,15.60,E,20.90
2012-04-08,13.10,17.13,24.00,43.62,0.00,306.12,1035.00,3.35,14.90,E,21.93
2012-04-09,11.40,14.85,20.80,68.08,0.00,192.75,1222.00,2.60,16.00,ESE,19.71
2012-04-10,11.80,14.53,20.90,77.17,0.00,202.67,1383.00,2.52,16.00,E,18.91
2012-04-11,8.80,13.66,18.40,81.92,0.00,147.04,1206.00,1.61,15.00,NE,15.00
2012-04-12,9.80,13.80,18.90,89.08,0.80,143.75,1304.00,1.59,14.30,NW,2.80
2012-04-13,11.40,13.47,18.90,93.08,13.00,155.96,1143.00,1.84,13.40,ENE,3.73
2012-04-14,10.40,13.76,18.50,89.42,0.20,194.83,1257.00,2.24,16.00,ENE,4.57
2012-04-15,11.70,14.47,18.30,90.67,0.40,169.88,1304.00,2.11,14.80,ESE,6.00
2012-04-16,12.00,14.28,18.30,94.71,3.60,121.83,1313.00,1.60,15.70,ESE,3.20
2012-04-17,12.50,14.38,17.20,94.33,0.40,87.88,724.00,1.02,10.20,ESE,5.04
2012-04-18,12.60,15.56,21.20,81.75,0.00,184.58,1201.00,2.34,15.30,ENE,12.48
2012-04-19,11.60,14.88,19.30,87.46,0.00,205.21,1287.00,2.29,14.80,E,14.18
